id,farm,plot,block,crop,type,original_coll_date,year,month,porewater_no3_mgl,porewater_drp_mgl
153,ISU,106,1,AR,shallow,2025-05-02,2025,5,0.4,0.05
69,ISU,205,2,AR,shallow,2025-04-03,2025,4,17.2,0.05
117,ISU,205,2,AR,shallow,2025-04-21,2025,4,18.7,0.05
165,ISU,205,2,AR,shallow,2025-05-02,2025,5,15.7,0.05
81,ISU,305,3,AR,shallow,2025-04-03,2025,4,29.2,0.05
129,ISU,305,3,AR,shallow,2025-04-21,2025,4,27,0.05
177,ISU,305,3,AR,shallow,2025-05-02,2025,5,11.1,0.25
225,ISU,305,3,AR,shallow,2025-05-21,2025,5,2,0.50
19,ISU,203,2,CR,shallow,2025-03-05,2025,3,17.7,0.05
67,ISU,203,2,CR,shallow,2025-04-03,2025,4,2.3,0.25
163,ISU,203,2,CR,shallow,2025-05-02,2025,5,4,1.00
31,ISU,301,3,CR,shallow,2025-03-05,2025,3,36.2,0.05
79,ISU,301,3,CR,shallow,2025-04-03,2025,4,0.5,0.05
127,ISU,301,3,CR,shallow,2025-04-21,2025,4,0.4,0.05
175,ISU,301,3,CR,shallow,2025-05-02,2025,5,0.4,0.05
43,ISU,403,4,CR,shallow,2025-03-05,2025,3,6.2,0.05
91,ISU,403,4,CR,shallow,2025-04-03,2025,4,0.4,0.05
139,ISU,403,4,CR,shallow,2025-04-21,2025,4,0.4,0.50
187,ISU,403,4,CR,shallow,2025-05-02,2025,5,0.4,0.05
1,ISU,101,1,F,shallow,2025-03-05,2025,3,24.8,0.05
49,ISU,101,1,F,shallow,2025-04-03,2025,4,25,0.05
97,ISU,101,1,F,shallow,2025-04-21,2025,4,26.2,0.05
145,ISU,101,1,F,shallow,2025-05-02,2025,5,23.4,0.05
193,ISU,101,1,F,shallow,2025-05-21,2025,5,16.1,0.25
61,ISU,202,2,F,shallow,2025-04-03,2025,4,24.8,0.05
157,ISU,202,2,F,shallow,2025-05-02,2025,5,22.4,0.50
73,ISU,302,3,F,shallow,2025-04-03,2025,4,41,0.1
169,ISU,302,3,F,shallow,2025-05-02,2025,5,32,0.25
37,ISU,401,4,F,shallow,2025-03-05,2025,3,91.9,0.05
85,ISU,401,4,F,shallow,2025-04-03,2025,4,86.1,0.05
133,ISU,401,4,F,shallow,2025-04-21,2025,4,81.4,0.08
181,ISU,401,4,F,shallow,2025-05-02,2025,5,62.4,0.05
229,ISU,401,4,F,shallow,2025-05-21,2025,5,68,0.05
11,ISU,105,1,GPC,shallow,2025-03-05,2025,3,12.5,0.05
59,ISU,105,1,GPC,shallow,2025-04-03,2025,4,9.2,0.05
155,ISU,105,1,GPC,shallow,2025-05-02,2025,5,14.4,0.05
203,ISU,105,1,GPC,shallow,2025-05-21,2025,5,3.6,0.06
23,ISU,206,2,GPC,shallow,2025-03-05,2025,3,21,0.09
71,ISU,206,2,GPC,shallow,2025-04-03,2025,4,28,0.05
119,ISU,206,2,GPC,shallow,2025-04-21,2025,4,13.7,0.25
35,ISU,306,3,GPC,shallow,2025-03-05,2025,3,87,1.00
83,ISU,306,3,GPC,shallow,2025-04-03,2025,4,33.5,0.05
51,ISU,102,1,PCRO,shallow,2025-04-03,2025,4,36,0.05
147,ISU,102,1,PCRO,shallow,2025-05-02,2025,5,36.8,0.05
15,ISU,204,2,PCRO,shallow,2025-03-05,2025,3,37.8,0.31
159,ISU,204,2,PCRO,shallow,2025-05-02,2025,5,31,1.00
27,ISU,304,3,PCRO,shallow,2025-03-05,2025,3,55,0.05
75,ISU,304,3,PCRO,shallow,2025-04-03,2025,4,61.4,0.05
123,ISU,304,3,PCRO,shallow,2025-04-21,2025,4,62,0.05
171,ISU,304,3,PCRO,shallow,2025-05-02,2025,5,56.6,0.05
39,ISU,402,4,PCRO,shallow,2025-03-05,2025,3,58.2,0.05
87,ISU,402,4,PCRO,shallow,2025-04-03,2025,4,25.3,0.05
135,ISU,402,4,PCRO,shallow,2025-04-21,2025,4,18.2,0.05
183,ISU,402,4,PCRO,shallow,2025-05-02,2025,5,15.6,0.05
231,ISU,402,4,PCRO,shallow,2025-05-21,2025,5,13.8,0.05
5,ISU,104,1,WPC,shallow,2025-03-05,2025,3,22.4,0.05
53,ISU,104,1,WPC,shallow,2025-04-03,2025,4,31.4,0.05
17,ISU,201,2,WPC,shallow,2025-03-05,2025,3,26.2,0.05
65,ISU,201,2,WPC,shallow,2025-04-03,2025,4,34.3,0.05
113,ISU,201,2,WPC,shallow,2025-04-21,2025,4,28.1,0.25
41,ISU,404,4,WPC,shallow,2025-03-05,2025,3,54,0.08
89,ISU,404,4,WPC,shallow,2025-04-03,2025,4,55.2,0.05
185,ISU,404,4,WPC,shallow,2025-05-02,2025,5,29.6,0.05
233,ISU,404,4,WPC,shallow,2025-05-21,2025,5,28.8,0.25
249,WIU,6,1,AR,shallow,2025-03-05,2025,3,20.6,0.05
297,WIU,6,1,AR,shallow,2025-04-03,2025,4,26.8,0.05
261,WIU,12,2,AR,shallow,2025-03-05,2025,3,27.5,0.11
309,WIU,12,2,AR,shallow,2025-04-03,2025,4,34.5,0.05
357,WIU,12,2,AR,shallow,2025-05-21,2025,5,6.7,0.05
247,WIU,5,1,CR,shallow,2025-03-05,2025,3,1.5,0.05
295,WIU,5,1,CR,shallow,2025-04-03,2025,4,0.2,0.05
343,WIU,5,1,CR,shallow,2025-05-21,2025,5,0.2,0.05
259,WIU,8,2,CR,shallow,2025-03-05,2025,3,2.6,0.09
355,WIU,8,2,CR,shallow,2025-05-21,2025,5,0.2,0.05
271,WIU,16,3,CR,shallow,2025-03-05,2025,3,1.6,0.05
319,WIU,16,3,CR,shallow,2025-04-03,2025,4,0.2,0.05
283,WIU,22,4,CR,shallow,2025-03-05,2025,3,2,0.50
241,WIU,1,1,F,shallow,2025-03-05,2025,3,17.8,0.05
289,WIU,1,1,F,shallow,2025-04-03,2025,4,12.3,0.05
277,WIU,19,4,F,shallow,2025-03-05,2025,3,38.5,0.05
325,WIU,19,4,F,shallow,2025-04-03,2025,4,34.8,0.05
251,WIU,4,1,GPC,shallow,2025-03-05,2025,3,14.6,0.05
299,WIU,4,1,GPC,shallow,2025-04-03,2025,4,20.8,0.05
263,WIU,10,2,GPC,shallow,2025-03-05,2025,3,13.9,0.05
311,WIU,10,2,GPC,shallow,2025-04-03,2025,4,14,0.05
275,WIU,13,3,GPC,shallow,2025-03-05,2025,3,15.1,0.05
323,WIU,13,3,GPC,shallow,2025-04-03,2025,4,19.2,0.05
291,WIU,2,1,PCRO,shallow,2025-04-03,2025,4,29,0.05
255,WIU,9,2,PCRO,shallow,2025-03-05,2025,3,18.4,0.05
303,WIU,9,2,PCRO,shallow,2025-04-03,2025,4,25.4,0.05
351,WIU,9,2,PCRO,shallow,2025-05-21,2025,5,13.9,0.05
315,WIU,18,3,PCRO,shallow,2025-04-03,2025,4,11.5,0.05
245,WIU,3,1,WPC,shallow,2025-03-05,2025,3,19.9,0.05
293,WIU,3,1,WPC,shallow,2025-04-03,2025,4,28.8,0.05
317,WIU,14,3,WPC,shallow,2025-04-03,2025,4,16.2,0.05
281,WIU,20,4,WPC,shallow,2025-03-05,2025,3,14.9,0.05
329,WIU,20,4,WPC,shallow,2025-04-03,2025,4,12.3,0.05
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
