"id","study","farm","plot","block","crop","type","original_coll_date","year","porewater_no3_mgl","porewater_drp_mgl","month","log_no3","log_drp"
74,"NREC-lys","ISU","406","4","AR","S",2024-04-24,"2024",0.2056,0.03548,4,0.0812032393065754,0.0151417150367913
88,"NREC-lys","ISU","406","4","AR","L",2024-04-30,"2024",0.0563,0.0103,4,0.0237872797898467,0.00445035298922436
89,"NREC-lys","ISU","406","4","AR","S",2024-04-30,"2024",0.0605,0.0146,4,0.0255106728525806,0.00629485798138536
94,"NREC-lys","ISU","406","4","AR","L",2025-04-03,"2025",28.4,0.05,4,1.46834733041216,0.0211892990699381
142,"NREC-lys","ISU","406","4","AR","L",2025-04-21,"2025",22.3,0.5,4,1.36735592102602,0.176091259055681
190,"NREC-lys","ISU","406","4","AR","L",2025-05-02,"2025",22.5,0.05,5,1.37106786227174,0.0211892990699381
238,"NREC-lys","ISU","406","4","AR","L",2025-05-21,"2025",20.2,0.05,5,1.32633586092875,0.0211892990699381
20,"NREC-lys","ISU","103","1","CR","L",2024-04-10,"2024",0.0624,0.02172,4,0.0262880620239423,0.00933189470686748
61,"NREC-lys","ISU","103","1","CR","S",2024-04-24,"2024",0.0633,0.0096,4,0.0266558138770431,0.00414934190005912
62,"NREC-lys","ISU","103","1","CR","L",2024-04-24,"2024",0.0524,0.00839,4,0.0221808394136653,0.00362853021508556
121,"NREC-lys","ISU","103","1","CR","S",2024-04-30,"2024",0.1804,0.02576,4,0.0720292008279219,0.0110457595396566
122,"NREC-lys","ISU","103","1","CR","L",2024-04-30,"2024",0.129,0.00711,4,0.0526939419249679,0.00307690827356065
56,"NREC-lys","ISU","103","1","CR","L",2025-04-03,"2025",0.4,0.05,4,0.146128035678238,0.0211892990699381
26,"NREC-lys","ISU","203","2","CR","S",2024-04-10,"2024",0.374,0.134,4,0.137986732723532,0.0546130545568877
27,"NREC-lys","ISU","203","2","CR","L",2024-04-10,"2024",0.1112,0.02444,4,0.0457922327295591,0.0104865274692981
48,"NREC-lys","ISU","203","2","CR","S",2024-04-20,"2024",0.22,0.0632,4,0.0863598306747482,0.0266149679346756
69,"NREC-lys","ISU","203","2","CR","L",2024-04-24,"2024",0.46,0.06152,4,0.164352855784437,0.0259281810812098
70,"NREC-lys","ISU","203","2","CR","S",2024-04-24,"2024",0.0694,0.0458,4,0.0291401797643218,0.0194486374936368
129,"NREC-lys","ISU","203","2","CR","S",2024-04-30,"2024",0.0177,0.0425,4,0.00761977451740336,0.0180760636457951
67,"NREC-lys","ISU","203","2","CR","S",2025-04-03,"2025",2.3,0.25,4,0.518513939877887,0.0969100130080564
116,"NREC-lys","ISU","203","2","CR","L",2025-04-21,"2025",1.2,0.05,4,0.342422680822206,0.0211892990699381
163,"NREC-lys","ISU","203","2","CR","S",2025-05-02,"2025",4,1,5,0.698970004336019,0.301029995663981
164,"NREC-lys","ISU","203","2","CR","L",2025-05-02,"2025",1,0.05,5,0.301029995663981,0.0211892990699381
9,"NREC-lys","ISU","301","3","CR","L",2024-04-10,"2024",0.0503,0.0197,4,0.0213133654846951,0.00847241930272214
37,"NREC-lys","ISU","301","3","CR","L",2024-04-20,"2024",0.0822,0.0123,4,0.034307529596563,0.00530923684851657
82,"NREC-lys","ISU","301","3","CR","S",2024-04-24,"2024",0.24,0.0204,4,0.0934216851622351,0.00877044993775241
83,"NREC-lys","ISU","301","3","CR","L",2024-04-24,"2024",0.0841,0.0128,4,0.0350693444211045,0.00552369267327985
97,"NREC-lys","ISU","301","3","CR","L",2024-04-30,"2024",0.127,0.0491,4,0.0519239160461065,0.0208168870289072
98,"NREC-lys","ISU","301","3","CR","S",2024-04-30,"2024",0.0604,0.0383,4,0.0254697190610558,0.0163228540137901
79,"NREC-lys","ISU","301","3","CR","S",2025-04-03,"2025",0.5,0.05,4,0.176091259055681,0.0211892990699381
80,"NREC-lys","ISU","301","3","CR","L",2025-04-03,"2025",3.9,0.05,4,0.690196080028514,0.0211892990699381
127,"NREC-lys","ISU","301","3","CR","S",2025-04-21,"2025",0.4,0.05,4,0.146128035678238,0.0211892990699381
128,"NREC-lys","ISU","301","3","CR","L",2025-04-21,"2025",0.4,0.05,4,0.146128035678238,0.0211892990699381
175,"NREC-lys","ISU","301","3","CR","S",2025-05-02,"2025",0.4,0.05,5,0.146128035678238,0.0211892990699381
176,"NREC-lys","ISU","301","3","CR","L",2025-05-02,"2025",0.4,0.05,5,0.146128035678238,0.0211892990699381
224,"NREC-lys","ISU","301","3","CR","L",2025-05-21,"2025",0.4,0.05,5,0.146128035678238,0.0211892990699381
34,"NREC-lys","ISU","301","4","CR","S",2024-04-20,"2024",0.292,0.02984,4,0.111262513659065,0.0127697562442779
78,"NREC-lys","ISU","403","4","CR","S",2024-04-24,"2024",0.062,0.02728,4,0.0261245167454503,0.0116888329655103
92,"NREC-lys","ISU","403","4","CR","S",2024-04-30,"2024",0.0692,0.0106,4,0.0290589500844996,0.00457929390221166
91,"NREC-lys","ISU","403","4","CR","S",2025-04-03,"2025",0.4,0.05,4,0.146128035678238,0.0211892990699381
139,"NREC-lys","ISU","403","4","CR","S",2025-04-21,"2025",0.4,0.5,4,0.146128035678238,0.176091259055681
140,"NREC-lys","ISU","403","4","CR","L",2025-04-21,"2025",0.4,0.42,4,0.146128035678238,0.152288344383056
187,"NREC-lys","ISU","403","4","CR","S",2025-05-02,"2025",0.4,0.05,5,0.146128035678238,0.0211892990699381
188,"NREC-lys","ISU","403","4","CR","L",2025-05-02,"2025",0.4,0.05,5,0.146128035678238,0.0211892990699381
22,"NREC-lys","ISU","101","1","F","S",2024-04-10,"2024",0.0929,0.0206,4,0.0385804259615783,0.00885556399621263
44,"NREC-lys","ISU","101","1","F","S",2024-04-20,"2024",0.136,0.0162,4,0.0553783313750001,0.00697919057427686
64,"NREC-lys","ISU","101","1","F","S",2024-04-24,"2024",0.276,0.0118,4,0.105850674385144,0.00509467507254857
124,"NREC-lys","ISU","101","1","F","L",2024-04-30,"2024",35.5,0.00875,4,1.56229286445647,0.00378354773012685
125,"NREC-lys","ISU","101","1","F","S",2024-04-30,"2024",6.98,0.01918,4,0.902002891350729,0.00825089264545318
49,"NREC-lys","ISU","101","1","F","S",2025-04-03,"2025",25,0.05,4,1.41497334797082,0.0211892990699381
50,"NREC-lys","ISU","101","1","F","L",2025-04-03,"2025",17.7,0.05,4,1.2718416065365,0.0211892990699381
97,"NREC-lys","ISU","101","1","F","S",2025-04-21,"2025",26.2,0.05,4,1.4345689040342,0.0211892990699381
98,"NREC-lys","ISU","101","1","F","L",2025-04-21,"2025",16,0.5,4,1.23044892137827,0.176091259055681
145,"NREC-lys","ISU","101","1","F","S",2025-05-02,"2025",23.4,0.05,5,1.38738982633873,0.0211892990699381
146,"NREC-lys","ISU","101","1","F","L",2025-05-02,"2025",20.6,0.05,5,1.33445375115093,0.0211892990699381
193,"NREC-lys","ISU","101","1","F","S",2025-05-21,"2025",16.1,0.25,5,1.23299611039215,0.0969100130080564
194,"NREC-lys","ISU","101","1","F","L",2025-05-21,"2025",24.2,0.25,5,1.40140054078154,0.0969100130080564
25,"NREC-lys","ISU","202","2","F","S",2024-04-10,"2024",20.2,0.0205,4,1.32633586092875,0.00881300905208929
46,"NREC-lys","ISU","202","2","F","L",2024-04-20,"2024",0.876,0.02848,4,0.273232834043046,0.0121958507472317
47,"NREC-lys","ISU","202","2","F","S",2024-04-20,"2024",12.72,0.02924,4,1.13735411137073,0.0125166561252761
67,"NREC-lys","ISU","202","2","F","S",2024-04-24,"2024",11.16,0.768,4,1.08493357493672,0.247482260677054
68,"NREC-lys","ISU","202","2","F","L",2024-04-24,"2024",1.128,0.052,4,0.327971623623011,0.0220157398177203
106,"NREC-lys","ISU","202","2","F","L",2024-04-30,"2024",2.03,0.0145,4,0.481442628502305,0.00625205136936477
128,"NREC-lys","ISU","202","2","F","S",2024-04-30,"2024",10.08,0.022,4,1.04453976039241,0.00945089579869393
61,"NREC-lys","ISU","202","2","F","S",2025-04-03,"2025",24.8,0.05,4,1.41161970596323,0.0211892990699381
62,"NREC-lys","ISU","202","2","F","L",2025-04-03,"2025",4.9,0.05,4,0.770852011642144,0.0211892990699381
110,"NREC-lys","ISU","202","2","F","L",2025-04-21,"2025",5.4,0.05,4,0.806179973983887,0.0211892990699381
157,"NREC-lys","ISU","202","2","F","S",2025-05-02,"2025",22.4,0.5,5,1.36921585741014,0.176091259055681
10,"NREC-lys","ISU","302","3","F","S",2024-04-10,"2024",0.863,0.0988,4,0.270212854896243,0.0409186507485243
11,"NREC-lys","ISU","302","3","F","L",2024-04-10,"2024",17.04,0.0608,4,1.25623653320592,0.0256335110606979
38,"NREC-lys","ISU","302","3","F","L",2024-04-20,"2024",14.56,0.0416,4,1.19200959265367,0.0177009712241168
84,"NREC-lys","ISU","302","3","F","L",2024-04-24,"2024",14.48,0.0544,4,1.18977095634687,0.0230053972499346
99,"NREC-lys","ISU","302","3","F","L",2024-04-30,"2024",12.2,0.0107,4,1.12057393120585,0.00462226570078263
73,"NREC-lys","ISU","302","3","F","S",2025-04-03,"2025",41,0.1,4,1.6232492903979,0.0413926851582251
122,"NREC-lys","ISU","302","3","F","L",2025-04-21,"2025",11.9,0.05,4,1.11058971029925,0.0211892990699381
169,"NREC-lys","ISU","302","3","F","S",2025-05-02,"2025",32,0.25,5,1.51851393987789,0.0969100130080564
170,"NREC-lys","ISU","302","3","F","L",2025-05-02,"2025",12.2,0.05,5,1.12057393120585,0.0211892990699381
218,"NREC-lys","ISU","302","3","F","L",2025-05-21,"2025",14.1,0.05,5,1.17897694729317,0.0211892990699381
7,"NREC-lys","ISU","401","4","F","S",2024-04-10,"2024",50.4,0.02264,4,1.71096311899528,0.00972277591205925
8,"NREC-lys","ISU","401","4","F","L",2024-04-10,"2024",34.8,0.124,4,1.55388302664387,0.0507663112330423
36,"NREC-lys","ISU","401","4","F","L",2024-04-20,"2024",48.2,0.0215,4,1.69196510276736,0.00923837096846643
80,"NREC-lys","ISU","401","4","F","L",2024-04-24,"2024",38.1,0.0282,4,1.59217675739587,0.0120775995310151
81,"NREC-lys","ISU","401","4","F","S",2024-04-24,"2024",42,0.0356,4,1.63346845557959,0.0151920417628345
95,"NREC-lys","ISU","401","4","F","S",2024-04-30,"2024",75.1,0.0338,4,1.88138465677057,0.0144365278316721
96,"NREC-lys","ISU","401","4","F","L",2024-04-30,"2024",58.9,0.0102,4,1.77742682238931,0.00440736417633074
85,"NREC-lys","ISU","401","4","F","S",2025-04-03,"2025",86.1,0.05,4,1.94001815500766,0.0211892990699381
86,"NREC-lys","ISU","401","4","F","L",2025-04-03,"2025",34,0.05,4,1.54406804435028,0.0211892990699381
133,"NREC-lys","ISU","401","4","F","S",2025-04-21,"2025",81.4,0.08,4,1.91592721169712,0.0334237554869497
134,"NREC-lys","ISU","401","4","F","L",2025-04-21,"2025",35.1,0.05,4,1.55750720190566,0.0211892990699381
181,"NREC-lys","ISU","401","4","F","S",2025-05-02,"2025",62.4,0.05,5,1.80208925788173,0.0211892990699381
182,"NREC-lys","ISU","401","4","F","L",2025-05-02,"2025",36.8,0.05,5,1.57749179983723,0.0211892990699381
229,"NREC-lys","ISU","401","4","F","S",2025-05-21,"2025",68,0.05,5,1.83884909073726,0.0211892990699381
230,"NREC-lys","ISU","401","4","F","L",2025-05-21,"2025",42.6,0.05,5,1.63948648926859,0.0211892990699381
18,"NREC-lys","ISU","105","1","GPC","S",2024-04-10,"2024",0.0923,0.0172,4,0.0383419336536062,0.00740635150367132
59,"NREC-lys","ISU","105","1","GPC","S",2024-04-24,"2024",0.00461,0.0127,4,0.00199749686076312,0.0054808099794012
118,"NREC-lys","ISU","105","1","GPC","S",2024-04-30,"2024",0.0408,0.017,4,0.0173672835535298,0.00732095292274456
59,"NREC-lys","ISU","105","1","GPC","S",2025-04-03,"2025",9.2,0.05,4,1.00860017176192,0.0211892990699381
60,"NREC-lys","ISU","105","1","GPC","L",2025-04-03,"2025",11.7,0.05,4,1.10380372095596,0.0211892990699381
108,"NREC-lys","ISU","105","1","GPC","L",2025-04-21,"2025",11.4,0.05,4,1.09342168516224,0.0211892990699381
155,"NREC-lys","ISU","105","1","GPC","S",2025-05-02,"2025",14.4,0.05,5,1.18752072083646,0.0211892990699381
156,"NREC-lys","ISU","105","1","GPC","L",2025-05-02,"2025",10,0.05,5,1.04139268515823,0.0211892990699381
203,"NREC-lys","ISU","105","1","GPC","S",2025-05-21,"2025",3.6,0.06,5,0.662757831681574,0.0253058652647703
204,"NREC-lys","ISU","105","1","GPC","L",2025-05-21,"2025",8.8,0.05,5,0.991226075692495,0.0211892990699381
30,"NREC-lys","ISU","206","2","GPC","S",2024-04-10,"2024",0.141,0.0356,4,0.0572856444182146,0.0151920417628345
50,"NREC-lys","ISU","206","2","GPC","S",2024-04-20,"2024",0.2168,0.03484,4,0.085219201044942,0.0148732072918322
73,"NREC-lys","ISU","206","2","GPC","S",2024-04-24,"2024",0.0133,0.0189,4,0.00573804265142485,0.0081315622406624
111,"NREC-lys","ISU","206","2","GPC","L",2024-04-30,"2024",0.3184,0.031,4,0.120047194353041,0.0132586652835165
112,"NREC-lys","ISU","206","2","GPC","S",2024-04-30,"2024",0.0604,0.0207,4,0.0254697190610558,0.00889811477093958
71,"NREC-lys","ISU","206","2","GPC","S",2025-04-03,"2025",28,0.05,4,1.46239799789896,0.0211892990699381
72,"NREC-lys","ISU","206","2","GPC","L",2025-04-03,"2025",8.8,0.05,4,0.991226075692495,0.0211892990699381
119,"NREC-lys","ISU","206","2","GPC","S",2025-04-21,"2025",13.7,0.25,4,1.16731733474818,0.0969100130080564
120,"NREC-lys","ISU","206","2","GPC","L",2025-04-21,"2025",8.7,0.05,4,0.986771734266245,0.0211892990699381
168,"NREC-lys","ISU","206","2","GPC","L",2025-05-02,"2025",7.7,0.05,5,0.939519252618618,0.0211892990699381
216,"NREC-lys","ISU","206","2","GPC","L",2025-05-21,"2025",9.9,0.05,5,1.03742649794062,0.0211892990699381
15,"NREC-lys","ISU","306","3","GPC","S",2024-04-10,"2024",0.1508,0.0972,4,0.0609998532182884,0.0402857989324918
40,"NREC-lys","ISU","306","3","GPC","L",2024-04-20,"2024",0.111,0.0114,4,0.0457140589408676,0.00492294929652573
55,"NREC-lys","ISU","306","3","GPC","S",2024-04-24,"2024",0.0689,0.0185,4,0.028937077070678,0.00796103333618291
56,"NREC-lys","ISU","306","3","GPC","L",2024-04-24,"2024",0.101,0.0482,4,0.0417873189717518,0.0204441553665746
114,"NREC-lys","ISU","306","3","GPC","L",2024-04-30,"2024",0.146,0.0166,4,0.0591846176313711,0.00715010536668475
115,"NREC-lys","ISU","306","3","GPC","S",2024-04-30,"2024",0.183,0.0275,4,0.0729847446279304,0.0117818305481068
83,"NREC-lys","ISU","306","3","GPC","S",2025-04-03,"2025",33.5,0.05,4,1.53781909507327,0.0211892990699381
2,"NREC-lys","ISU","405","4","GPC","S",2024-04-10,"2024",0.064,0.00994,4,0.0269416279590294,0.00429557334409308
3,"NREC-lys","ISU","405","4","GPC","L",2024-04-10,"2024",0.1092,0.0258,4,0.045009860905824,0.0110626947297348
32,"NREC-lys","ISU","405","4","GPC","L",2024-04-20,"2024",0.0131,0.011,4,0.00565231535507401,0.00475115559100102
75,"NREC-lys","ISU","405","4","GPC","S",2024-04-24,"2024",0.1196,0.0224,4,0.0490628897941247,0.00962084081432493
76,"NREC-lys","ISU","405","4","GPC","L",2024-04-24,"2024",0.0598,0.017,4,0.0252239151783108,0.00732095292274456
90,"NREC-lys","ISU","405","4","GPC","S",2024-04-30,"2024",0.1256,0.01784,4,0.0513840844266893,0.00767951417131567
91,"NREC-lys","ISU","405","4","GPC","L",2024-04-30,"2024",0.0696,0.0122,4,0.0292213942539279,0.00526633297276884
96,"NREC-lys","ISU","405","4","GPC","L",2025-04-03,"2025",15.1,0.05,4,1.20682587603185,0.0211892990699381
144,"NREC-lys","ISU","405","4","GPC","L",2025-04-21,"2025",15.8,0.05,4,1.22530928172586,0.0211892990699381
192,"NREC-lys","ISU","405","4","GPC","L",2025-05-02,"2025",16.9,0.05,5,1.25285303097989,0.0211892990699381
240,"NREC-lys","ISU","405","4","GPC","L",2025-05-21,"2025",14,0.05,5,1.17609125905568,0.0211892990699381
21,"NREC-lys","ISU","102","1","PCRO","L",2024-04-10,"2024",1.26,0.0126,4,0.354108439147401,0.00543792305082211
43,"NREC-lys","ISU","102","1","PCRO","L",2024-04-20,"2024",0.475,0.0271,4,0.168792020314182,0.0116127292194238
63,"NREC-lys","ISU","102","1","PCRO","S",2024-04-24,"2024",0.134,0.0186,4,0.0546130545568877,0.00800367184015935
87,"NREC-lys","ISU","102","1","PCRO","L",2024-04-24,"2024",0.227,0.0102,4,0.0888445627270043,0.00440736417633074
123,"NREC-lys","ISU","102","1","PCRO","L",2024-04-30,"2024",0.381,0.00862,4,0.140193678578631,0.00372757556564977
51,"NREC-lys","ISU","102","1","PCRO","S",2025-04-03,"2025",36,0.05,4,1.56820172406699,0.0211892990699381
147,"NREC-lys","ISU","102","1","PCRO","S",2025-05-02,"2025",36.8,0.05,5,1.57749179983723,0.0211892990699381
71,"NREC-lys","ISU","204","2","PCRO","S",2024-04-24,"2024",0.512,0.1028,4,0.179551791165188,0.0424967574337361
107,"NREC-lys","ISU","204","2","PCRO","S",2024-04-30,"2024",0.0195,0.135,4,0.00838723011415884,0.0549958615291415
108,"NREC-lys","ISU","204","2","PCRO","L",2024-04-30,"2024",1.1,0.0176,4,0.322219294733919,0.00757709830433868
64,"NREC-lys","ISU","204","2","PCRO","L",2025-04-03,"2025",14.8,0.05,4,1.19865708695442,0.0211892990699381
112,"NREC-lys","ISU","204","2","PCRO","L",2025-04-21,"2025",16.7,0.05,4,1.24797326636181,0.0211892990699381
159,"NREC-lys","ISU","204","2","PCRO","S",2025-05-02,"2025",31,1,5,1.50514997831991,0.301029995663981
160,"NREC-lys","ISU","204","2","PCRO","L",2025-05-02,"2025",20.8,0.05,5,1.3384564936046,0.0211892990699381
208,"NREC-lys","ISU","204","2","PCRO","L",2025-05-21,"2025",26.1,0.05,5,1.43296929087441,0.0211892990699381
53,"NREC-lys","ISU","304","3","PCRO","S",2024-04-24,"2024",0.177,0.0836,4,0.0707764628434347,0.0348689963611306
102,"NREC-lys","ISU","304","3","PCRO","L",2024-04-30,"2024",2.52,0.0159,4,0.546542663478131,0.00685096032427195
103,"NREC-lys","ISU","304","3","PCRO","S",2024-04-30,"2024",2.04,0.0205,4,0.482873583608754,0.00881300905208929
75,"NREC-lys","ISU","304","3","PCRO","S",2025-04-03,"2025",61.4,0.05,4,1.79518458968242,0.0211892990699381
76,"NREC-lys","ISU","304","3","PCRO","L",2025-04-03,"2025",13,0.05,4,1.14612803567824,0.0211892990699381
123,"NREC-lys","ISU","304","3","PCRO","S",2025-04-21,"2025",62,0.05,4,1.79934054945358,0.0211892990699381
124,"NREC-lys","ISU","304","3","PCRO","L",2025-04-21,"2025",14.5,0.05,4,1.19033169817029,0.0211892990699381
171,"NREC-lys","ISU","304","3","PCRO","S",2025-05-02,"2025",56.6,0.05,5,1.76042248342321,0.0211892990699381
172,"NREC-lys","ISU","304","3","PCRO","L",2025-05-02,"2025",16.1,0.05,5,1.23299611039215,0.0211892990699381
220,"NREC-lys","ISU","304","3","PCRO","L",2025-05-21,"2025",17.7,0.05,5,1.2718416065365,0.0211892990699381
5,"NREC-lys","ISU","402","4","PCRO","S",2024-04-10,"2024",34.68,0.2644,4,1.55242484570409,0.101884487167542
6,"NREC-lys","ISU","402","4","PCRO","L",2024-04-10,"2024",17.32,0.03364,4,1.26292546933183,0.0143693073877964
35,"NREC-lys","ISU","402","4","PCRO","L",2024-04-20,"2024",21.3,0.0134,4,1.34830486304816,0.00578089995465233
52,"NREC-lys","ISU","402","4","PCRO","S",2024-04-24,"2024",3.36,0.404,4,0.639486489268586,0.147367107793786
79,"NREC-lys","ISU","402","4","PCRO","L",2024-04-24,"2024",21.5,0.018,4,1.35218251811136,0.00774777800073995
93,"NREC-lys","ISU","402","4","PCRO","S",2024-04-30,"2024",7.05,0.306,4,0.905795880367869,0.115943176939055
94,"NREC-lys","ISU","402","4","PCRO","L",2024-04-30,"2024",17.6,0.00845,4,1.26951294421792,0.00365437031040492
87,"NREC-lys","ISU","402","4","PCRO","S",2025-04-03,"2025",25.3,0.05,4,1.41995574848976,0.0211892990699381
88,"NREC-lys","ISU","402","4","PCRO","L",2025-04-03,"2025",37.4,0.25,4,1.58433122436753,0.0969100130080564
135,"NREC-lys","ISU","402","4","PCRO","S",2025-04-21,"2025",18.2,0.05,4,1.28330122870355,0.0211892990699381
136,"NREC-lys","ISU","402","4","PCRO","L",2025-04-21,"2025",59.8,0.05,4,1.78390357927273,0.0211892990699381
183,"NREC-lys","ISU","402","4","PCRO","S",2025-05-02,"2025",15.6,0.05,5,1.22010808804006,0.0211892990699381
184,"NREC-lys","ISU","402","4","PCRO","L",2025-05-02,"2025",36.5,0.05,5,1.57403126772772,0.0211892990699381
231,"NREC-lys","ISU","402","4","PCRO","S",2025-05-21,"2025",13.8,0.05,5,1.17026171539496,0.0211892990699381
232,"NREC-lys","ISU","402","4","PCRO","L",2025-05-21,"2025",50.5,0.05,5,1.71180722904119,0.0211892990699381
19,"NREC-lys","ISU","104","1","WPC","L",2024-04-10,"2024",0.0465,0.0099,4,0.0197392326747053,0.00427837220016245
42,"NREC-lys","ISU","104","1","WPC","L",2024-04-20,"2024",0.0913,0.0097,4,0.0379441552030985,0.00419235625971427
60,"NREC-lys","ISU","104","1","WPC","L",2024-04-24,"2024",0.0588,0.00862,4,0.0248139326293106,0.00372757556564977
119,"NREC-lys","ISU","104","1","WPC","S",2024-04-30,"2024",0.0271,0.00974,4,0.0116127292194238,0.00420956081075656
120,"NREC-lys","ISU","104","1","WPC","L",2024-04-30,"2024",0.0613,0.00945,4,0.0258381642297002,0.00408481237141408
53,"NREC-lys","ISU","104","1","WPC","S",2025-04-03,"2025",31.4,0.05,4,1.51054501020661,0.0211892990699381
54,"NREC-lys","ISU","104","1","WPC","L",2025-04-03,"2025",12.6,0.05,4,1.13353890837022,0.0211892990699381
23,"NREC-lys","ISU","201","2","WPC","S",2024-04-10,"2024",0.258,0.0227,4,0.0996806411092501,0.00974825594855358
24,"NREC-lys","ISU","201","2","WPC","L",2024-04-10,"2024",7.26,0.0167,4,0.916980047320382,0.00719282355704066
45,"NREC-lys","ISU","201","2","WPC","L",2024-04-20,"2024",1.82,0.0094,4,0.450249108319361,0.00406330039766709
65,"NREC-lys","ISU","201","2","WPC","S",2024-04-24,"2024",0.25,0.0141,4,0.0969100130080564,0.00608078271609388
66,"NREC-lys","ISU","201","2","WPC","L",2024-04-24,"2024",1.94,0.00954,4,0.468347330412157,0.00412353123916206
